WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_105	item_74	food_drink	manzana	apple	apple				
item_106		food_drink	melón	melon	melon		melon		
item_107		food_drink	mermelada	marmalade	jam		jam		
item_108	item_75	food_drink	naranja	orange (fruit)	orange (food)				
item_109	item_76	food_drink	paleta	lollipop	lollipop				
item_110		food_drink	palomitas (palomitas de maíz)	popcorn	popcorn				*
item_111	item_77	food_drink	pan	bread	bread				
item_112		food_drink	pan dulce	sweet bread			pastry		*
item_113		food_drink	papas	potatoes	potato		potato		
item_114		food_drink	papitas	chips	potato chips		chips		
item_115		food_drink	pasas	raisins	raisin		raisin		
item_116	item_78	food_drink	pastel	cake	cake				
item_117		food_drink	peanut butter (mantequilla de maní)	peanut butter	peanut butter		peanut butter	the definition is not a common word for people from mexico. Typically mexicans name "mantequilla de maní" to say peanut butter. My hypothesis is that mexican-americans use this word more often.	*
item_118		food_drink	pescado	fish (food)	fish (food)		fish (food)		
item_119	item_79	food_drink	plátano/banana	banana	banana				
item_120	item_80	food_drink	pollo (comida)	chicken	chicken (food)				*
item_121	item_81	food_drink	quesadilla	quesadilla	quesadilla				
item_122	item_82	food_drink	queso	cheese	cheese				
item_123		food_drink	sal	salt	salt		salt		
item_124	item_83	food_drink	salchicha	hot dog	hot dog				
item_125		food_drink	salsa (condimento)	salsa	salsa		salsa		*
item_126		food_drink	sandía	watermelon	watermelon		watermelon		
item_127	item_84	food_drink	soda/refresco	soda water	soda				
item_128	item_85	food_drink	sopa	soup	soup				
item_129		food_drink	taco	taco	taco		taco		
item_130		food_drink	té (bebida)	tea	tea		tea		
item_131		food_drink	torta/lonche	lunch sub	sandwich		sandwich		
item_132	item_86	food_drink	tortilla	tortilla	tortilla				
item_133	item_87	food_drink	uvas	grapes	grapes		grape		
item_134		food_drink	vainilla	vanilla	vanilla		vanilla		
item_135		food_drink	vitaminas	vitamin	vitamin		vitamin		
item_136		food_drink	yoghurt	yogurt	yogurt		yogurt		
item_137		food_drink	zanahoria	carrot	carrot		carrot		
item_138	item_91	clothing	botón	button	button				
item_139		clothing	bufanda	scarf	scarf		scarf		
item_140		clothing	calcetín	sock	sock				
item_141	item_93	clothing	calzón	underwear	underpants				
item_142		clothing	camisa	shirt	shirt		shirt		
item_143		clothing	chancla	slipper	slipper		slipper		
item_144	item_94	clothing	cierre (ropa)	zipper	zipper				*
